Parent	Parent_Index	Parent_Type	Target	Target_Index	Target_Type	Interaction
MYC/Max_(complex)	9181	complex	MIR429_(miRNA)	8924	miRNA	-t>
MYC/Max_(complex)	9181	complex	BAX	1632	protein	-t>
MYC/Max_(complex)	9181	complex	MIR338_(miRNA)	8922	miRNA	-t>
MYC/Max_(complex)	9181	complex	ENO1	4456	protein	-t>
MYC/Max_(complex)	9181	complex	RPL11	13787	protein	-t>
MYC/Max_(complex)	9181	complex	GADD45A	5555	protein	-t|
MYC/Max_(complex)	9181	complex	ALDH9A1	598	protein	-t|
MYC/Max_(complex)	9181	complex	CDKN1B	2655	protein	-t|
MYC/Max_(complex)	9181	complex	PPP2R4	12508	protein	-t|
MYC/Max_(complex)	9181	complex	DNTT	3854	protein	-t|
MYC/Max_(complex)	9181	complex	MIR26B_(miRNA)	8921	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR146A_(miRNA)	8914	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR22_(miRNA)	8917	miRNA	-t|
MYC/Max_(complex)	9181	complex	DLEU2_(rna)	3767	rna	-t|
MYC/Max_(complex)	9181	complex	DLEU1_(rna)	3766	rna	-t|
MYC/Max_(complex)	9181	complex	FTH1	5361	protein	-t|
MYC/Max_(complex)	9181	complex	GTF2H2	6205	protein	-t|
MYC/Max_(complex)	9181	complex	MYC	9179	protein	-t|
MYC/Max_(complex)	9181	complex	TMEFF2	15736	protein	-t|
MYC/Max_(complex)	9181	complex	MIRLET7G_(miRNA)	8926	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR26A1_(miRNA)	8919	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR34A_(miRNA)	8923	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR23B_(miRNA)	8918	miRNA	-t|
MYC/Max_(complex)	9181	complex	MIR26A2_(miRNA)	8920	miRNA	-t|
MYC/Max_(complex)	9181	complex	CSDE1	3269	protein	-t|
MYC/Max_(complex)	9181	complex	NDRG1	9365	protein	-t|
MYC/Max_(complex)	9181	complex	DKK1	3755	protein	-t|
MYC/Max_(complex)	9181	complex	CFLAR	2794	protein	-t|
MYC/Max_(complex)	9181	complex	TMEM126A	15737	protein	-t|
MYC/Max_(complex)	9181	complex	ZFP36L1	16859	protein	-t|
MYC/Max_(complex)	9181	complex	MYC/Max/p14ARF_(complex)	9192	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/HDAC3_(complex)	9186	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/PML4_(complex)	9194	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/NF-Y_(complex)	9190	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/Cbp/p300_(complex)	9183	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/TRRAP/GCN5/STAF65G/SPT3/TAF9/TAF10/TAF12/core_Mediator_(complex)	9196	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/PIM1_(complex)	9193	complex	component>
MYC/Max_(complex)	9181	complex	MIZ-1/IRF8_(complex)	8950	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/MIZ-1_(complex)	9187	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/DNA_replication_preinitiation_complex_(complex)	9184	complex	component>
MYC/Max_(complex)	9181	complex	MIZ-1/p300_(complex)	8951	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/P-TEFb_(complex)	9191	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/RPL11_(complex)	9195	complex	component>
MYC/Max_(complex)	9181	complex	MYC/Max/HBP1_(complex)	9185	complex	component>
MYB	9167	protein	GSTM1	6187	protein	-t>
MYB	9167	protein	BIRC3	1779	protein	-t>
MYB	9167	protein	MAD1L1	8518	protein	-t>
MYB	9167	protein	PTCRA	12833	protein	-t>
MYB	9167	protein	ADA	425	protein	-t>
MYB	9167	protein	LECT2	8236	protein	-t>
MYB	9167	protein	SLC1A5	14392	protein	-t>
MYB	9167	protein	ADORA2B	477	protein	-t>
MYB	9167	protein	PPP3CA	12519	protein	-t>
MYB	9167	protein	MAT2A	8638	protein	-t>
MYB	9167	protein	MPO	9035	protein	-t>
MYB	9167	protein	KITLG	8015	protein	-t>
MYB	9167	protein	SLC25A3	14393	protein	-t>
MYB	9167	protein	MYC	9179	protein	-t>
MYB	9167	protein	BCL2	1661	protein	-t>
MYB	9167	protein	H2AFZ	6246	protein	-t>
MYB	9167	protein	HSPA5	6783	protein	-t>
MYB	9167	protein	CLTA	2990	protein	-t>
MYB	9167	protein	CEBPB	2681	protein	-t>
MYB	9167	protein	CASP6	2249	protein	-t>
MYB	9167	protein	CBX4	2331	protein	-t>
MYB	9167	protein	PRTN3	12755	protein	-t>
MYB	9167	protein	TFEC	15492	protein	-t>
MYB	9167	protein	LYZ	8496	protein	-t>
MYB	9167	protein	TOM1	15812	protein	-t>
MYB	9167	protein	CA1	2048	protein	-t>
MYB	9167	protein	RAG2	13143	protein	-t>
MYB	9167	protein	TCR-delta	15420	protein	-t>
MYB	9167	protein	COPA	3133	protein	-t>
MYB	9167	protein	LECT2	8236	protein	-t|
MYB	9167	protein	ATP2B1	1420	protein	-t|
MYB	9167	protein	NRAS	9945	protein	-t|
MYB	9167	protein	SKI/SIN3a/NCoR1/TIF1B/Myb_(complex)	14358	complex	component>
MYB	9167	protein	Myb/PAX5/LEF1_(complex)	9172	complex	component>
MYB	9167	protein	Myb/CYP-40_(complex)	9169	complex	component>
MYB	9167	protein	Myb/Cbp_(complex)	9168	complex	component>
MYB	9167	protein	PIM1/p100/Myb_(complex)	12059	complex	component>
MYB	9167	protein	Myb/GATA1_(complex)	9170	complex	component>
MYB	9167	protein	Myb/MAF_(complex)	9171	complex	component>
MYB	9167	protein	MYOD/Cbp/p300/Myb_(complex)	9244	complex	component>
MYB	9167	protein	CDK6/Cyclin_D1/Myb_(complex)	2648	complex	component>
MYB	9167	protein	HES1/Myb_(complex)	6364	complex	component>
MYB	9167	protein	p53/MYB/SIN3A_(complex)	11288	complex	component>
MYB	9167	protein	a-cMyb_(family)	84	family	member>
XBP1-2	16790	protein	ADD1	456	protein	-t>
XBP1-2	16790	protein	ATP6V0D1	1447	protein	-t>
XBP1-2	16790	protein	CTDSP2	3312	protein	-t>
XBP1-2	16790	protein	CXXC1	3407	protein	-t>
XBP1-2	16790	protein	CUL7	3345	protein	-t>
XBP1-2	16790	protein	DCTN1	3589	protein	-t>
XBP1-2	16790	protein	DNAJB11	3824	protein	-t>
XBP1-2	16790	protein	EXTL3	4813	protein	-t>
XBP1-2	16790	protein	FKBP14	5236	protein	-t>
XBP1-2	16790	protein	ARFGAP1	1199	protein	-t>
XBP1-2	16790	protein	GFPT1	5700	protein	-t>
XBP1-2	16790	protein	GOSR2	5928	protein	-t>
XBP1-2	16790	protein	GSK3A	6175	protein	-t>
XBP1-2	16790	protein	HDGF	6336	protein	-t>
XBP1-2	16790	protein	KDELR3	7914	protein	-t>
XBP1-2	16790	protein	KLHDC3	8026	protein	-t>
XBP1-2	16790	protein	PDIA5	11640	protein	-t>
XBP1-2	16790	protein	PLA2G4B	12148	protein	-t>
XBP1-2	16790	protein	PPP2R5B	12510	protein	-t>
XBP1-2	16790	protein	SERP1	14158	protein	-t>
XBP1-2	16790	protein	SHC1	14244	protein	-t>
XBP1-2	16790	protein	SRPR	14817	protein	-t>
XBP1-2	16790	protein	SRPRB	14818	protein	-t>
XBP1-2	16790	protein	SULT1A3	15038	protein	-t>
XBP1-2	16790	protein	SEC31A	14090	protein	-t>
XBP1-2	16790	protein	TPP1	15861	protein	-t>
XBP1-2	16790	protein	TSPYL2	16039	protein	-t>
XBP1-2	16790	protein	TLN1	15692	protein	-t>
XBP1-2	16790	protein	WFS1	16711	protein	-t>
XBP1-2	16790	protein	YIF1A	16821	protein	-t>
XBP1-2	16790	protein	ZBTB17	16845	protein	-t>
DNA_damage_(abstract)	3791	abstract	BRCA1/BARD1/CTIP/M/R/N_Complex_(complex)	1907	complex	-a>
DNA_damage_(abstract)	3791	abstract	BRCA1/BACH1/BARD1/TopBP1_(complex)	1904	complex	-a>
DNA_damage_(abstract)	3791	abstract	E2F1/DP/PCAF_(complex)	4107	complex	-a>
DNA_damage_(abstract)	3791	abstract	BRCA1/BARD1/p53_(complex)	1909	complex	-a>
DNA_damage_(abstract)	3791	abstract	ATM	1398	protein	-a>
DNA_damage_(abstract)	3791	abstract	ATR/ATRIP/ATM_(complex)	1482	complex	-a>
DNA_damage_(abstract)	3791	abstract	PRKDC	12601	protein	-a>
DNA_damage_(abstract)	3791	abstract	TFIID/RPA/JNK/p300/p53_(complex)	15500	complex	-a>
DNA_damage_(abstract)	3791	abstract	PARP1	11434	protein	-a>
DNA_damage_(abstract)	3791	abstract	ATR	1476	protein	-a>
DNA_damage_(abstract)	3791	abstract	dNp63a_(tetramer)_(complex)	3844	complex	-a|
DNA_damage_(abstract)	3791	abstract	MDM4	8733	protein	-a|
DNA_damage_(abstract)	3791	abstract	TTC5	16040	protein	-a|
DNA_damage_(abstract)	3791	abstract	E2F1/DP_(complex)	4105	complex	-a|
DNA_damage_(abstract)	3791	abstract	DYRK2	4016	protein	-a|
DNA_damage_(abstract)	3791	abstract	BID	1762	protein	-t>
DNA_damage_(abstract)	3791	abstract	TNFRSF10A	15775	protein	-t>
DNA_damage_(abstract)	3791	abstract	PCBP4	11477	protein	-t>
DNA_damage_(abstract)	3791	abstract	FLOT2	5253	protein	-t>
DNA_damage_(abstract)	3791	abstract	ARID3A	1297	protein	-t>
DNA_damage_(abstract)	3791	abstract	EDN2	4175	protein	-t>
DNA_damage_(abstract)	3791	abstract	SCN3B	14054	protein	-t>
DNA_damage_(abstract)	3791	abstract	DHRS3	3719	protein	-t>
DNA_damage_(abstract)	3791	abstract	CCNK	2380	protein	-t>
DNA_damage_(abstract)	3791	abstract	MIR34A_(miRNA)	8923	miRNA	-t>
DNA_damage_(abstract)	3791	abstract	FDXR	5038	protein	-t>
DNA_damage_(abstract)	3791	abstract	C13orf15	1967	protein	-t>
DNA_damage_(abstract)	3791	abstract	RRM2B	13902	protein	-t>
DNA_damage_(abstract)	3791	abstract	PCNA	11484	protein	-t>
DNA_damage_(abstract)	3791	abstract	NLRC4	9745	protein	-t>
DNA_damage_(abstract)	3791	abstract	PYCARD	12907	protein	-t>
DNA_damage_(abstract)	3791	abstract	P42857	11267	protein	-t>
DNA_damage_(abstract)	3791	abstract	PMAIP1	12244	protein	-t>
DNA_damage_(abstract)	3791	abstract	GRAMD4	6031	protein	-t>
DNA_damage_(abstract)	3791	abstract	DDIT4	3601	protein	-t>
DNA_damage_(abstract)	3791	abstract	BAK1	1608	protein	-t>
DNA_damage_(abstract)	3791	abstract	ADA	425	protein	-t>
DNA_damage_(abstract)	3791	abstract	IGFBP3	6985	protein	-t>
DNA_damage_(abstract)	3791	abstract	PERP	11706	protein	-t>
DNA_damage_(abstract)	3791	abstract	PMS2	12259	protein	-t>
DNA_damage_(abstract)	3791	abstract	HIC1	6436	protein	-t>
DNA_damage_(abstract)	3791	abstract	MMP2	8987	protein	-t>
DNA_damage_(abstract)	3791	abstract	RPS27L	13859	protein	-t>
DNA_damage_(abstract)	3791	abstract	RCHY1	13349	protein	-t>
DNA_damage_(abstract)	3791	abstract	RNF144B	13725	protein	-t>
DNA_damage_(abstract)	3791	abstract	FAS	4945	protein	-t>
DNA_damage_(abstract)	3791	abstract	IL4R	7240	protein	-t>
DNA_damage_(abstract)	3791	abstract	DUSP5	3982	protein	-t>
DNA_damage_(abstract)	3791	abstract	TNFRSF10B	15776	protein	-t>
DNA_damage_(abstract)	3791	abstract	TP53INP1	15840	protein	-t>
DNA_damage_(abstract)	3791	abstract	BAX	1632	protein	-t>
DNA_damage_(abstract)	3791	abstract	GDF15	5674	protein	-t>
DNA_damage_(abstract)	3791	abstract	NDRG1	9365	protein	-t>
DNA_damage_(abstract)	3791	abstract	CASP6	2249	protein	-t>
DNA_damage_(abstract)	3791	abstract	IRF5	7638	protein	-t>
DNA_damage_(abstract)	3791	abstract	PPM1J	12481	protein	-t>
DNA_damage_(abstract)	3791	abstract	FHL2	5201	protein	-t>
DNA_damage_(abstract)	3791	abstract	GADD45A	5555	protein	-t>
DNA_damage_(abstract)	3791	abstract	P55269	11296	protein	-t>
DNA_damage_(abstract)	3791	abstract	FA_complex_(complex)	4854	complex	-t>
DNA_damage_(abstract)	3791	abstract	CDKN1A	2654	protein	-t>
DNA_damage_(abstract)	3791	abstract	TP63	15841	protein	-t|
DNA_damage_(abstract)	3791	abstract	TRIAP1	15967	protein	-t|
FOXM1	5288	protein	HIST1H2BA	6513	protein	-t>
FOXM1	5288	protein	FOS	5272	protein	-t>
FOXM1	5288	protein	CCNB2	2371	protein	-t>
FOXM1	5288	protein	CDK1	2615	protein	-t>
FOXM1	5288	protein	CENPF	2724	protein	-t>
FOXM1	5288	protein	NFATC3	9658	protein	-t>
FOXM1	5288	protein	BIRC5	1781	protein	-t>
FOXM1	5288	protein	SKP2	14364	protein	-t>
FOXM1	5288	protein	CENPB	2721	protein	-t>
FOXM1	5288	protein	HSPA1A	6780	protein	-t>
FOXM1	5288	protein	ETV5	4764	protein	-t>
FOXM1	5288	protein	CDC25B	2557	protein	-t>
FOXM1	5288	protein	CENPA	2719	protein	-t>
FOXM1	5288	protein	GAS1	5626	protein	-t>
FOXM1	5288	protein	NEK2	9489	protein	-t>
FOXM1	5288	protein	PLK1	12228	protein	-t>
FOXM1	5288	protein	CKS1B	2913	protein	-t>
FOXM1	5288	protein	FOXM1C/SP1_(complex)	5293	complex	component>
FOXM1	5288	protein	RB1/FOXM1C_(complex)	13311	complex	component>
dNp63a_(tetramer)_(complex)	3844	complex	degradation_(abstract)	3667	abstract	-a>
dNp63a_(tetramer)_(complex)	3844	complex	HELLS	6344	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	RUNX1	13929	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	ATM	1398	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	AXL	1537	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	TCF7L1	15404	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	ADRM1	510	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	FASN	4976	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	DLX6	3779	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	BDKRB2	1685	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	TP63	15841	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	PERP	11706	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	SEC14L2	14082	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	RRAD	13891	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	ADA	425	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	IGFBP3	6985	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	MRE11A	9043	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	POU2F2	12396	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	KRT5	8079	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	FOSL2	5277	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	CCNB2	2371	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	COL5A1	3065	protein	-t>
dNp63a_(tetramer)_(complex)	3844	complex	CDKN2A	2656	protein	-t|
dNp63a_(tetramer)_(complex)	3844	complex	Q8N726	13005	protein	-t|
dNp63a_(tetramer)_(complex)	3844	complex	AEN	512	protein	-t|
dNp63a_(tetramer)_(complex)	3844	complex	dNp63a_(tetramer)/p14ARF_(complex)	3845	complex	component>
dNp63a_(tetramer)_(complex)	3844	complex	dNp63a_(tetramer)/PP2A_B56alpha/GSK3beta_(complex)	3846	complex	component>
MYC/Max/MIZ-1_(complex)	9187	complex	cell_cycle_arrest_(abstract)	2691	abstract	-a|
MYC/Max/MIZ-1_(complex)	9187	complex	BCL2	1661	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	ITGB1	7701	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	HMGCS2	6659	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	ITGB4	7710	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	MXD4	9166	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	CCL5	2365	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	NDRG2	9366	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	CLU	2998	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	ITGA6	7689	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	LGALS1	8259	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	DDIT3	3600	protein	-t|
MYC/Max/MIZ-1_(complex)	9187	complex	SMAD2-3/SMAD4/MYC/Max/MIZ-1_(complex)	14474	complex	component>
MYC/Max/MIZ-1_(complex)	9187	complex	MYC/Max/MIZ-1/DNMT3A/GFI1_(complex)	9188	complex	component>
MYC/Max/MIZ-1_(complex)	9187	complex	MYC/Max/MIZ-1/ZO2_(complex)	9189	complex	component>
IHH_N/PTCH1_(complex)	7008	complex	PTCH1	12831	protein	-t>
PTCH1	12831	protein	catabolic_process_(abstract)	2285	abstract	-a>
PTCH1	12831	protein	IHH_N/PTCH1_(complex)	7008	complex	component>
PTCH1	12831	protein	DHH_N/PTCH1_(complex)	3716	complex	component>
PTCH1	12831	protein	SHH_Np/Cholesterol/GPC3_(complex)	14263	complex	component>
PTCH1	12831	protein	SHH/PTC1_(complex)	14268	complex	component>
PTCH1	12831	protein	Patched_homologs_(family)	11448	family	member>
STAT5_(dimer)_(family)	14926	family	CD4-positive_CD25-positive_alpha-beta_regulatory_T_cell_lineage_commitment_(abstract)	2474	abstract	-a>
STAT5_(dimer)_(family)	14926	family	regulation_of_isotype_switching_to_IgG_isotypes_(abstract)	13406	abstract	-a>
STAT5_(dimer)_(family)	14926	family	activation-induced_cell_death_of_T_cells_(abstract)	347	abstract	-a|
STAT5_(dimer)_(family)	14926	family	LTA	8470	protein	-t>
STAT5_(dimer)_(family)	14926	family	IL4	7228	protein	-t>
STAT5_(dimer)_(family)	14926	family	BCL2	1661	protein	-t>
STAT5_(dimer)_(family)	14926	family	FOS	5272	protein	-t>
STAT5_(dimer)_(family)	14926	family	CSN2	3286	protein	-t>
STAT5_(dimer)_(family)	14926	family	FOXP3	5310	protein	-t>
STAT5_(dimer)_(family)	14926	family	SRP9	14816	protein	-t>
STAT5_(dimer)_(family)	14926	family	CNKSR1	3008	protein	-t>
STAT5_(dimer)_(family)	14926	family	YWHAG	16825	protein	-t>
STAT5_(dimer)_(family)	14926	family	CDK6	2646	protein	-t>
STAT5_(dimer)_(family)	14926	family	MYC	9179	protein	-t>
STAT5_(dimer)_(family)	14926	family	CCND2	2374	protein	-t>
STAT5_(dimer)_(family)	14926	family	CCND3	2375	protein	-t>
STAT5_(dimer)_(family)	14926	family	FASLG	4963	protein	-t>
STAT5_(dimer)_(family)	14926	family	STAT5_(dimer)-active/HDAC1_(complex)	14927	complex	component>
MAX	8661	protein	MAX-2	8662	protein	-a>
MAX	8661	protein	MAX-3	8663	protein	-a>
MAX	8661	protein	MYC/Max_(complex)	9181	complex	component>
MAX	8661	protein	MAD/Max_(complex)	8516	complex	component>
MAX	8661	protein	MAD/Max_(complex)	8516	complex	component>
MAX	8661	protein	MYC/Max/P-TEFb_(complex)	9191	complex	component>
MAX	8661	protein	MYC/Max/TRRAP/GCN5/STAF65G/SPT3/TAF9/TAF10/TAF12/core_Mediator_(complex)	9196	complex	component>
MAX	8661	protein	MYC/Max/p14ARF_(complex)	9192	complex	component>
MAX	8661	protein	MYC/Max/PIM1_(complex)	9193	complex	component>
MAX	8661	protein	MYC/Max/MIZ-1/ZO2_(complex)	9189	complex	component>
MAX	8661	protein	SIN3/HDAC_complex/Mad/Max_(complex)	14312	complex	component>
MAX	8661	protein	MYC/Max/MIZ-1/DNMT3A/GFI1_(complex)	9188	complex	component>
MAX	8661	protein	MYC/Max/MIZ-1_(complex)	9187	complex	component>
MAX	8661	protein	MYC/Max/DNA_replication_preinitiation_complex_(complex)	9184	complex	component>
MAX	8661	protein	MYC/Max/RPL11_(complex)	9195	complex	component>
MAX	8661	protein	MYC/Max/PML4_(complex)	9194	complex	component>
MAX	8661	protein	MYC/Max/Cbp/p300_(complex)	9183	complex	component>
MAX	8661	protein	MYC/Max/NF-Y_(complex)	9190	complex	component>
MAX	8661	protein	SMAD2-3/SMAD4/MYC/Max/MIZ-1_(complex)	14474	complex	component>
MAX	8661	protein	MYC/Max/HDAC3_(complex)	9186	complex	component>
MAX	8661	protein	MYC/Max/HBP1_(complex)	9185	complex	component>
MAX	8661	protein	Myc/Max_heterodimer_(complex)	9182	complex	component>
TAp73b_(tetramer)_(complex)	15322	complex	BBC3	1638	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	PPAP2A	12439	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	FLOT2	5253	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	CASP2-2	2245	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	ADA	425	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	TP73-8	15849	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	DEDD	3618	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	CDKN1A	2654	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	NDUFS2	9396	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	IL4R	7240	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	GRAMD4	6031	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	AEN	512	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	FAS	4945	protein	-t>
TAp73b_(tetramer)_(complex)	15322	complex	TAp73b_(tetramer)/MDM2/TIP60_(complex)	15324	complex	component>
TAp73b_(tetramer)_(complex)	15322	complex	TAp73b_(tetramer)/Amphiphysin_IIB_(complex)	15323	complex	component>
TAp63g_(tetramer)_(complex)	15308	complex	degradation_(abstract)	3667	abstract	-a>
TAp63g_(tetramer)_(complex)	15308	complex	MIR130B_(miRNA)	8912	miRNA	-t>
TAp63g_(tetramer)_(complex)	15308	complex	OGG1	10199	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	TFAP2C	15487	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	ITGA3	7686	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	SHH	14258	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	EVPL	4767	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	FLOT2	5253	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	GADD45A	5555	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	CDKN1A	2654	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	MFGE8	8856	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	JAG1	7737	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	DST-3	3970	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	PERP	11706	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	DHRS3	3719	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	IGFBP3	6985	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	ITGB4	7710	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	AEN	512	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	TP53I3	15839	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	YWHAQ	16827	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	FDXR	5038	protein	-t>
TAp63g_(tetramer)_(complex)	15308	complex	TAp63g_(tetramer)/p300_(complex)	15311	complex	component>
TAp63g_(tetramer)_(complex)	15308	complex	TAp63g_(tetramer)/SP1_(complex)	15312	complex	component>
TAp63g_(tetramer)_(complex)	15308	complex	TAp63g_(tetramer)/p14ARF_(complex)	15310	complex	component>
TAp63g_(tetramer)_(complex)	15308	complex	TAp63g_(tetramer)/SSRP1_(complex)	15313	complex	component>
FOXA1	5279	protein	chromatin_remodeling_(abstract)	2872	abstract	-a>
FOXA1	5279	protein	SFTPD	14197	protein	-t>
FOXA1	5279	protein	CYP2C18	3487	protein	-t>
FOXA1	5279	protein	PISD	12089	protein	-t>
FOXA1	5279	protein	XBP1	16789	protein	-t>
FOXA1	5279	protein	SHH	14258	protein	-t>
FOXA1	5279	protein	PRDM15	12537	protein	-t>
FOXA1	5279	protein	AFP	518	protein	-t>
FOXA1	5279	protein	VTN	16692	protein	-t>
FOXA1	5279	protein	FOXA2	5281	protein	-t>
FOXA1	5279	protein	APOB	1102	protein	-t>
FOXA1	5279	protein	Spermine_binding_protein	14701	protein	-t>
FOXA1	5279	protein	Probasin	12647	protein	-t>
FOXA1	5279	protein	KLK3	8035	protein	-t>
